5401;GPS;camera;Sat 12 Dec 2009 05:31:22 +0000;Droid;(2.0.1);gps;coordinates;not;saved;with;picture;created;using;inbox;camera;Device;:;Motorola;Droid.;Firmware;Android;2.0.1;took;a;picture;using;the;built;in;camera;application;-0;Store;Location;(ON);-0;Uploaded;to;picassa;GPS;coordinates;were;not;available;in;the;picture;Expected;result:;GPS;tags;(latitude;and;longitude);should;have;been;available;in;the;metadata;of;the;picture.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10849;message;notification;Sat 28 Aug 2010 18:22:56 +0000;Motorola;Milestone;"In my Motorola Milestone Q""Elow space left on deviceQ""E prevented SMS to be downloaded. It would be useful a notification telling the user that SMS cannot be downloaded or something similar; maybe also an option to delete SMS on phone would be nice for freeing space (now only application removal is displayed).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6962;audio;SD_card;Wed 03 Mar 2010 16:47:25 +0000;Motorola;Droid;"I was experiencing the same problem described by the user here: http://www.droidforums.net/forum/tech-issues-bug-reports-suggestions/17375- moto-droid-having-issues-sd-card.html Basically seemingly out of the blue my Verizon Motorola Droid (Android 2.0.1) randomly stopped recognizing audio files on the SD card. The files would show up in Astro Manager and the audio list would populate with all of my music but when I tried playing them I would get a Q""EThis format is not recognizedQ""E error. The problem was intermittent and seemingly random. Sometimes I would reboot the phone which would sometimes resolve the problem and other times not. Other times the files would work again several hours later without me rebooting. If I remember correctly pulling the battery seemed to fix the problem every time but it would eventually return. I had this problem for about 2 weeks before seeking an answer online when I came across the above forum post. I cross checked the list of apps I had installed with the user Q""EMalitharQ'EsQ""E list of apps. I also had Q""EWhereQ""E and Q""ENo Signal AlertQ""E installed and after uninstalling both I have not had any SD card issues. IQ'Em inclined to believe that the problem was Q""ENo Signal AlertQ""E since I had Q""EWhereQ""E for quite some time without issue. I will update this report if the problem returns but it appears resolved.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6213;calling;bluetooth;headset;Sat 23 Jan 2010 00:23:19 +0000;Motorola;Droid;Motorola Droid Automatically Accepting Incoming Calls Via Bluetooth with the phone and headset sitting on my desk an incoming call has been automatically accepted and connected to the caller without any prompt by me. this problem has only happened two times and is not reproducible. i am using the now discontinued apple bluetooth headset which had been working fine for a month with this phone until the last 24 hours where two separate calls were connected automatically. i cannot tell what is causing the problem or if any of the two are related. Motorola Droid 2.0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9950;network;setting;Thu 22 Jul 2010 16:25:57 +0000;Motorola;Droid;X;"Motorola Droid X Version.1.13.604.MB810.Verizon.en.US Firmware version 2.1-update1 Kernel version 2.6.29 w30471@il93lnxdroid08 #1 I have configured an L2TP/IPSec VPN to connect to a Cisco ASA 5510 version 8.2(1). The phone successfully completes IKE phase 1 and phase 2 negotiation and establishes an IPSec SA but no L2TP traffic flows. The android log shows a number of Q""ETimeout -Q>E Sending SCCRQQ""E messages then eventually a VpnService Q""EConnecting timed outQ""E after which it gives up. The Cisco side shows a successful negotiation and an established IPSec SA but it doesnQ'Et appear to receive any L2TP messages after IKE completes. There are no error messages or other additional log activity related to the session. To me it looks like something is not working correctly on the android side. I have attached an android log Q""Eadb bugreportQ""E output and a partial Cisco config with the last log messages output from the ASA. Please let me know if thereQ'Es any other information that would be helpful in diagnosing this issue.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13359;app;system;Wed 22 Dec 2010 07:20:54 +0000;Motorola;Defy;1. Go to the far left desktop (On my phone there is 5 - note this bug doesnQ'Et seem to happen on the other desktops so this step is essential). 2. Long click on the background of said desktop. 3. Q'EAdd to Home screenQ'E menu appears. 4. Select Q'EFoldersQ'E. 5. Select Q'ENew FolderQ'E. 6. A folder called Q'EFolderQ'E is created on the specified desktop. 7. Press the central button on the desktop (i.e. the Q'EappsQ'E button that has a white ring as an icon). 8. The app menu comes up showing all the installed apps. 9. Long click Q'EBrowserQ'E (or probably any app). 10. Drag this app in to the folder we created. 11. Click on the folder. 12. The application we specified should is in this folder. This is the bug now: 13. With the contents of the folder still showing long click the Q'EBrowserQ'E app that is contained in the folder. 14. Now try dragging it on to the desktop. The desktop goes blank then the home desktop loads and we are on the home desktop. If we now go back to the folder in question the Q'EBrowserQ'E app is still in this folder. Platform: Motorola Defy - Android 2.1 This is 100% reproducable on my phone. Note that currently I am having problems dragging apps to any of my desktops sometimes and at other times I canQ'Et drag apps between desktops. This problem only started happening once I started using folders on my desktops for the first time. This is very serious for me. I might even have to return my phone and get a non-android phone. I canQ'Et risk buying another android phone because I donQ'Et know if itQ'Es just my specific phone or the Motorola Defy in general or all versions of 2.1 on ANY headset. I must assume the worst because I wonQ'Et be able to claim on my insurance more than once probably. Very sad as itQ'Es a brilliant phone. I am wanting to investigate this with the help of a developer. I am a developer myself and also have quite a good knowledge of testing. I am hoping that between us we can debug what is happening with my phone :);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6037;ringtone;audio;Thu 14 Jan 2010 13:54:14 +0000;Moto;Droid;For the past 2 days my back speaker on my Motorola Droid (Android 2.0.1) has not been functioning. It seemed that the problem started when I plugged the phone into my charger so I plugged it in tested the ringtone sound (no sound) unplugged it and tested it again (no sound). I have rebooted several times and have done a battery pull with no fix. Speakerphone does not work I cannot hear the phone ring or hear other notifications. I had not used headphones prior to this occurring but I did just try them and when I tested the ringtone I could hear through the headphones. I can hear through the ear piece when I am placing a call but ringtone tests donQ'Et produce sound in either the back speaker or the ear piece. I have been reading a lot of reports about sound problems which are typically resolved by rebooting and/or plugging and unplugging headphones. These solutions have not worked for me. Some of these other reports say that they can hear the ringtone in the earpiece but not the back speaker. My problem seems related but as I mentioned I canQ'Et hear the ringtone through the ear piece and reboots arenQ'Et helping. This may just be a hardware issue but I have had a hard time contacting Verizon folks (online and by phone) so I am throwing this to the masses to see if there is something I am missing. If there is no crowd-sourceable solution what do you all think about in-store Verizon tech support?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8677;app;upgrade;Thu 27 May 2010 14:57:43 +0000;Motorola;Droid;-My queue is empty -I play a podcast -As soon as that podcast is finished it picks up another podcast at random and starts playing it. -Verified that queue was empty at the time. If this is a feature there seems to be no setting to disable it. I am almost certain that its not a feature because its not consistent. Noticed this issue after the last app update. Version Info: Google Listen version: 1.1.2 Motorola Droid 2.1 - Update 1 Baseband: C_01.3E.03P Kernel: 2.6.29-omap1-g7fa8788 android-build@apa26 #1 Build: ESE81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10881;message;image;app;Mon 30 Aug 2010 17:07:01 +0000;Motorola;Droid;Model: Motorola Droid Generation 1 Issue: The picture for myself in the text messaging application does not show a picture of me. I believe this is due to my last name having a space ex: John do Oe. Also the facebook application only shows my name as John Oe dropping the do completely.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10315;wifi;network;Mon 09 Aug 2010 23:20:38 +0000;Motorola;droid;"Steps to reproduce. Using microsoft dhcp server in windows server 2008 also tested 2003. 1. Assuming your internet connection is already setup. 2. Assuming you use a dhcp server (verified problem with microsoft dhcp) 3. verify that the android (in this case motorola droid) works properly with a typical dhcp server configuration (dns and gateway settings). 4. Add a Q""Eclassless static routeQ""E config to the dhcp server scope. It can be to any network including a fictitious network so long as it uses intranet addresses. In this case I used network 172.16.0.0 mask 255.255.0.0 gw 192.168.66.6. 5. Disconnect and reconnect wifi on the android. 6. Connection will report to be successful but data apps will all fail to transmit data regardless of whether or not the ip addresses being contacted would use the route or not. ALL internet communication fails... Motorola droid with 2.1 update 1 installed. Microsoft dhcp service.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8698;browser;Fri 28 May 2010 07:28:42 +0000;Motorola;droid;With the build-in browser i canQ'Et acces on the website http://www.leblogauto.com/ Same problem on HTC desire and Motorola droid 2.1 Work fine with opera mobile.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6275;calendar;synchronize;Tue 26 Jan 2010 16:34:09 +0000;Motorola;Milestone;If you use Evolution as your calendar program and Exchange as calendar server events updated from Evolution into the Exchange server are not synchronized by android (version 2.0 Motorola Milestone). To reproduce it: * In Evolution: create an event in your Exchange calendar if you go to exchange webaccess you can see it and Android also synchronizes it. * In Evolution: edit that event (move it rename it schedule a meeting whatever). After that all changes are reflected in the Exchange calendar (you can check it from exchange webaccess) but the Android device doesnQ'Et update it (neither updates it FROM the Exchange server nor updates it TO the Exchange server if you change it in the android device) Please note that this can be something related to Evolution since updating the event directly in the Exchange Webaccess interface results in the Android device correctly updating the event.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8326;email;Fri 14 May 2010 03:38:44 +0000;Moto;Droid;Moto Droid running 2.1 update 1 Build ESE81 Using native email app to access my Verizon email I receive emails from PCMag.com and IQ'Em able to open them with no problem. In fact the emails appear in the same format (HTML) that they do when I open them in a browser window. The problem occurs when I forward the message. When I forward the message to my work email the message is converted and arrives in my Outlook Inbox as plain-text and all the article links are stripped. The same thing happens when I forward to any other email account including my Verizon account. Confirmed that itQ'Es not an Exchange server issue Confirmed that itQ'Es not spam or email filter issue Confirmed that itQ'Es not Verizon.net Confirmed that itQ'Es not a Verizon Wireless issue Finally confirmed with Motorola support that it is a problem with the email app on the Droid. BTW for all you K-9 fans a similar thing happens. The message is converted from itQ'Es original HTML format. It also arrives as a plain-text email. The only difference is that links arenQ'Et stripped. I have a case open with Motorola for over a month with no resolution. Hope someone here is able to get it resolved;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5868;email;image;system;Wed 06 Jan 2010 21:14:20 +0000;Motorola;Droid;"I would like to report an issue with images in an Exchange account that cause the Motorola Droid to completely reboot. Steps to reproduce: 1. Receive an email to an Exchange account in the Combined Inbox with a picture embedded in the email. 2. When opening the email the image will have a question mark(?) where the image should be and the actual image will be attached at the bottom of the email. 3. I have Astro installed so when viewing an image I am prompted to choose Astro or the built-in image viewer to view the image. 4. Click OPEN on one of the pictures. When prompted with the Q""EComplete action using ...Q""E hit the BACK button on the phone which will dismiss the prompt. 5. You will now be able to see the thumbnail of the image. 6. Click OPEN again on the same picture then choose Q""EView PictureQ""E (using the built-in picture viewer). 7. The phone will reboot. Phone: Motorola Droid Android Version: 2.0.1 I have been able to reproduce this issue 10 times in a row. I have attached the bug report. The bug report was run after the reboot.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9988;keyboard;Sun 25 Jul 2010 08:50:54 +0000;motorola;droid;i recently got a droid after the 3rd day the soft keys are constantly on. even when i turn off the phone it remains on. taking out the battery is the only thing that turns it off. anyone know of a way that could possibly fix this? motorola droid/2.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8124;calendar;Mon 03 May 2010 20:37:54 +0000;Motorola;Droid;Device: Motorola Droid 2.1-update1 When scheduling a calendar event using Calendar application cannot change the ending time of event. the popup comes up with the timepicker however the change does not get reflected. the start time is able to be changed.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8613;audio;headset;bluetooth;setting;Wed 26 May 2010 09:06:39 +0000;Motorola;Milestone;Hello the audio equalizer is useless if you are using a bluetooth headphone. I use a Motorola Milestone with Android 2.01 and as headphone a Phillips SHB9000. Is it possible to fix it? Thx Q&E Cheers Woercel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12667;email;display;Sat 20 Nov 2010 12:01:20 +0000;Motorola;DEFY;Modell: Motorola DEFY Firmware: 2.1-update1 (Blur_Version.2.21.0.MB525.Retail.en.DE) Mod: MB525 Kernel: 2.6.29 Build: JRDNEM_U3_2.21.0 Dear Madam Q&E Sir When I receive a new mail in my POP eMail Account the subject of this mail is shortly shown in status bar but the space where normaly the new mail notification icon is displayed stays void. So I do not see if I have new mail. The space beside the new mail subject is still reserved for the icon but it do not draw it. So it seems that the mail application wants to draw the icon but can not found or load the icon ressource. I did a search on the net and found out that a lot of people with Android phones from different manufactures have this problem too. So it might not be a motorola problem but a general Android bug. And yes I enabled the mail notification in the status bar for this mail account and this mail notification icon was displayed for a while but it is disappeared suddenly. Best regards Raymund Apfelb?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
